title,link,abstract,clean_abstract
Mice in Bion-M 1 space mission: training and selection,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,"After a 16-year hiatus, Russia has resumed its program of biomedical research in space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 19–May 19, 2013). The principal species for biomedical research in this project was the mouse. This paper presents an overview of the scientific goals, the experimental design and the mouse training/selection program. The aim of mice experiments in the Bion-M 1 project was to elucidate cellular and molecular mechanisms, underlying the adaptation of key physiological systems to long-term exposure in microgravity. The studies with mice combined in vivo measurements, both in flight and post-flight (including continuous blood pressure measurement), with extensive in vitro studies carried out shortly after return of the mice and in the end of recovery study. Male C57/BL6 mice group housed in space habitats were flown aboard the Bion-M 1 biosatellite, or remained on ground in the control experiment that replicated environmental and housing conditions in the spacecraft. Vivarium control groups were used to account for housing effects and possible seasonal differences. Mice training included the co-adaptation in housing groups and mice adaptation to paste food diet. The measures taken to co-adapt aggressive male mice in housing groups and the peculiarities of “space” paste food are described. The training program for mice designated for in vivo studies was broader and included behavioral/functional test battery and continuous behavioral measurements in the home-cage. The results of the preliminary tests were used for the selection of homogenous groups. After the flight, mice were in good condition for biomedical studies and displayed signs of pronounced disadaptation to Earth's gravity. The outcomes of the training program for the mice welfare are discussed. We conclude that our training program was effective and that male mice can be successfully employed in space biomedical research.",year hiatus russia resumed program biomedical research space successful day flight bionm biosatellite april may principal species biomedical research project mouse paper presents overview scientific goals experimental design mouse trainingselection program aim mice experiments bionm project elucidate cellular molecular mechanisms underlying adaptation key physiological systems longterm exposure microgravity studies mice combined vivo measurements flight postflight including continuous blood pressure measurement extensive vitro studies carried shortly return mice end recovery study male cbl mice group housed space habitats flown aboard bionm biosatellite remained ground control experiment replicated environmental housing conditions spacecraft vivarium control groups used account housing effects possible seasonal differences mice training included coadaptation housing groups mice adaptation paste food diet measures taken coadapt aggressive male mice housing groups peculiarities space paste food described training program mice designated vivo studies broader included behavioralfunctional test battery continuous behavioral measurements homecage results preliminary tests used selection homogenous groups flight mice good condition biomedical studies displayed signs pronounced disadaptation earths gravity outcomes training program mice welfare discussed conclude training program effective male mice successfully employed space biomedical research
"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/,"Bone is a dynamically remodeled tissue that requires gravity-mediated mechanical stimulation for maintenance of mineral content and structure. Homeostasis in bone occurs through a balance in the activities and signaling of osteoclasts, osteoblasts, and osteocytes, as well as proliferation and differentiation of their stem cell progenitors. Microgravity and unloading are known to cause osteoclast-mediated bone resorption; however, we hypothesize that osteocytic osteolysis, and cell cycle arrest during osteogenesis may also contribute to bone loss in space. To test this possibility, we exposed 16-week-old female C57BL/6J mice (n = 8) to microgravity for 15-days on the STS-131 space shuttle mission. Analysis of the pelvis by µCT shows decreases in bone volume fraction (BV/TV) of 6.29%, and bone thickness of 11.91%. TRAP-positive osteoclast-covered trabecular bone surfaces also increased in microgravity by 170% (p = 0.004), indicating osteoclastic bone degeneration. High-resolution X-ray nanoCT studies revealed signs of lacunar osteolysis, including increases in cross-sectional area (+17%, p = 0.022), perimeter (+14%, p = 0.008), and canalicular diameter (+6%, p = 0.037). Expression of matrix metalloproteinases (MMP) 1, 3, and 10 in bone, as measured by RT-qPCR, was also up-regulated in microgravity (+12.94, +2.98 and +16.85 fold respectively, p<0.01), with MMP10 localized to osteocytes, and consistent with induction of osteocytic osteolysis. Furthermore, expression of CDKN1a/p21 in bone increased 3.31 fold (p<0.01), and was localized to osteoblasts, possibly inhibiting the cell cycle during tissue regeneration as well as conferring apoptosis resistance to these cells. Finally the apoptosis inducer Trp53 was down-regulated by −1.54 fold (p<0.01), possibly associated with the quiescent survival-promoting function of CDKN1a/p21. In conclusion, our findings identify the pelvic and femoral region of the mouse skeleton as an active site of rapid bone loss in microgravity, and indicate that this loss is not limited to osteoclastic degradation. Therefore, this study offers new evidence for microgravity-induced osteocytic osteolysis, and CDKN1a/p21-mediated osteogenic cell cycle arrest.",bone dynamically remodeled tissue requires gravitymediated mechanical stimulation maintenance mineral content structure homeostasis bone occurs balance activities signaling osteoclasts osteoblasts osteocytes well proliferation differentiation stem cell progenitors microgravity unloading known cause osteoclastmediated bone resorption however hypothesize osteocytic osteolysis cell cycle arrest osteogenesis may also contribute bone loss space test possibility exposed weekold female cblj mice microgravity days sts space shuttle mission analysis pelvis shows decreases bone volume fraction bvtv bone thickness trappositive osteoclastcovered trabecular bone surfaces also increased microgravity indicating osteoclastic bone degeneration highresolution xray nanoct studies revealed signs lacunar osteolysis including increases crosssectional area perimeter canalicular diameter expression matrix metalloproteinases mmp bone measured rtqpcr also upregulated microgravity fold respectively mmp localized osteocytes consistent induction osteocytic osteolysis furthermore expression cdknap bone increased fold localized osteoblasts possibly inhibiting cell cycle tissue regeneration well conferring apoptosis resistance cells finally apoptosis inducer trp downregulated fold possibly associated quiescent survivalpromoting function cdknap conclusion findings identify pelvic femoral region mouse skeleton active site rapid bone loss microgravity indicate loss limited osteoclastic degradation therefore study offers new evidence microgravityinduced osteocytic osteolysis cdknapmediated osteogenic cell cycle arrest
Stem Cell Health and Tissue Regeneration in Microgravity,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,"Microgravity, defined by minimal gravitational forces, represents a unique environment that profoundly influences biological systems, including human cells. This review examines the effects of microgravity on biological processes and their implications for human health. Microgravity significantly impacts the immune system by disrupting key mechanisms, such as T cell activation, cytokine production, and macrophage differentiation, leading to increased susceptibility to infections. In cancer biology, it promotes the formation of spheroids in cancer stem cells and thyroid cancer cells, which closely mimic in vivo tumor dynamics, providing novel insights for oncology research. Additionally, microgravity enhances tissue regeneration by modulating critical pathways, including Hippo and PI3K-Akt, thereby improving stem cell differentiation into hematopoietic and cardiomyocyte lineages. At the organ level, microgravity induces notable changes in hepatic metabolism, endothelial function, and bone mechanotransduction, contributing to lipid dysregulation, vascular remodeling, and accelerated bone loss. Notably, cardiomyocytes derived from human pluripotent stem cells and cultured under microgravity exhibit enhanced mitochondrial biogenesis, improved calcium handling, and advanced structural maturation, including increased sarcomere length and nuclear eccentricity. These advancements enable the development of functional cardiomyocytes, presenting promising therapeutic opportunities for treating cardiac diseases, such as myocardial infarctions. These findings underscore the dual implications of microgravity for space medicine and terrestrial health. They highlight its potential to drive advances in regenerative therapies, oncology, and immunological interventions. Continued research into the biological effects of microgravity is essential for protecting astronaut health during prolonged space missions and fostering biomedical innovations with transformative applications on Earth. Keywords: microgravity, tissue effects, immune system, cardiomyocytes, cancer biology, human health",microgravity defined minimal gravitational forces represents unique environment profoundly influences biological systems including human cells review examines effects microgravity biological processes implications human health microgravity significantly impacts immune system disrupting key mechanisms cell activation cytokine production macrophage differentiation leading increased susceptibility infections cancer biology promotes formation spheroids cancer stem cells thyroid cancer cells closely mimic vivo tumor dynamics providing novel insights oncology research additionally microgravity enhances tissue regeneration modulating critical pathways including hippo pikakt thereby improving stem cell differentiation hematopoietic cardiomyocyte lineages organ level microgravity induces notable changes hepatic metabolism endothelial function bone mechanotransduction contributing lipid dysregulation vascular remodeling accelerated bone loss notably cardiomyocytes derived human pluripotent stem cells cultured microgravity exhibit enhanced mitochondrial biogenesis improved calcium handling advanced structural maturation including increased sarcomere length nuclear eccentricity advancements enable development functional cardiomyocytes presenting promising therapeutic opportunities treating cardiac diseases myocardial infarctions findings underscore dual implications microgravity space medicine terrestrial health highlight potential drive advances regenerative therapies oncology immunological interventions continued research biological effects microgravity essential protecting astronaut health prolonged space missions fostering biomedical innovations transformative applications earth keywords microgravity tissue effects immune system cardiomyocytes cancer biology human health
Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/,"Therapeutic effects of adult stem-cell transplantations are limited by poor cell-retention in target organs, and a reduced potential for optimal cell differentiation compared to embryonic stem cells. However, contemporary studies have indicated heterogeneity within adult stem-cell pools, and a novel culturing technique may address these limitations by selecting those for cell proliferation which are highly functional. Here, we report the preservation of stemness in human adipose-derived stem cells (hASCs) by using microgravity conditions combined with microspheres in a stirred suspension. The cells were bound to microspheres (100−300 μm) and cultured using a wave-stirring shaker. One-week cultures using polystyrene and collagen microspheres increased the proportions of SSEA-3(+) hASCs 4.4- and 4.3-fold (2.7- and 2.9-fold increases in their numbers), respectively, compared to normal culture conditions. These cultured hASCs expressed higher levels of pluripotent markers (OCT4, SOX2, NANOG, MYC, and KLF), and had improved abilities for proliferation, colony formation, network formation, and multiple-mesenchymal differentiation. We believe that this novel culturing method may further enhance regenerative therapies using hASCs. Keywords: adipose-derived stem cell, microgravity culture, polystyrene microsphere, collagen microsphere, multilineage-differentiating stress-enduring cell",therapeutic effects adult stemcell transplantations limited poor cellretention target organs reduced potential optimal cell differentiation compared embryonic stem cells however contemporary studies indicated heterogeneity within adult stemcell pools novel culturing technique may address limitations selecting cell proliferation highly functional report preservation stemness human adiposederived stem cells hascs using microgravity conditions combined microspheres stirred suspension cells bound microspheres cultured using wavestirring shaker oneweek cultures using polystyrene collagen microspheres increased proportions ssea hascs fold fold increases numbers respectively compared normal culture conditions cultured hascs expressed higher levels pluripotent markers oct sox nanog myc klf improved abilities proliferation colony formation network formation multiplemesenchymal differentiation believe novel culturing method may enhance regenerative therapies using hascs keywords adiposederived stem cell microgravity culture polystyrene microsphere collagen microsphere multilineagedifferentiating stressenduring cell
Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/,"The International Space Station (ISS) National Laboratory is dedicated to studying the effects of space on life and physical systems, and to developing new science and technologies for space exploration. A key aspect of achieving these goals is to operate the ISS National Lab more like an Earth-based laboratory, conducting complex end-to-end experimentation, not limited to simple microgravity exposure. Towards that end NASA developed a novel suite of molecular biology laboratory tools, reagents, and methods, named WetLab-2, uniquely designed to operate in microgravity, and to process biological samples for real-time gene expression analysis on-orbit. This includes a novel fluidic RNA Sample Preparation Module and fluid transfer devices, all-in-one lyophilized PCR assays, centrifuge, and a real-time PCR thermal cycler. Here we describe the results from the WetLab-2 validation experiments conducted in microgravity during ISS increment 47/SPX-8. Specifically, quantitative PCR was performed on a concentration series of DNA calibration standards, and Reverse Transcriptase-quantitative PCR was conducted on RNA extracted and purified on-orbit from frozen Escherichia coli and mouse liver tissue. Cycle threshold (Ct) values and PCR efficiencies obtained on-orbit from DNA standards were similar to Earth (1 g) controls. Also, on-orbit multiplex analysis of gene expression from bacterial cells and mammalian tissue RNA samples was successfully conducted in about 3 h, with data transmitted within 2 h of experiment completion. Thermal cycling in microgravity resulted in the trapping of gas bubbles inside septa cap assay tubes, causing small but measurable increases in Ct curve noise and variability. Bubble formation was successfully suppressed in a rapid follow-up on-orbit experiment using standard caps to pressurize PCR tubes and reduce gas release during heating cycles. The WetLab-2 facility now provides a novel operational on-orbit research capability for molecular biology and demonstrates the feasibility of more complex wet bench experiments in the ISS National Lab environment.",international space station iss national laboratory dedicated studying effects space life physical systems developing new science technologies space exploration key aspect achieving goals operate iss national lab like earthbased laboratory conducting complex endtoend experimentation limited simple microgravity exposure towards end nasa developed novel suite molecular biology laboratory tools reagents methods named wetlab uniquely designed operate microgravity process biological samples realtime gene expression analysis onorbit includes novel fluidic rna sample preparation module fluid transfer devices allinone lyophilized pcr assays centrifuge realtime pcr thermal cycler describe results wetlab validation experiments conducted microgravity iss increment spx specifically quantitative pcr performed concentration series dna calibration standards reverse transcriptasequantitative pcr conducted rna extracted purified onorbit frozen escherichia coli mouse liver tissue cycle threshold values pcr efficiencies obtained onorbit dna standards similar earth controls also onorbit multiplex analysis gene expression bacterial cells mammalian tissue rna samples successfully conducted data transmitted within experiment completion thermal cycling microgravity resulted trapping gas bubbles inside septa cap assay tubes causing small measurable increases curve noise variability bubble formation successfully suppressed rapid followup onorbit experiment using standard caps pressurize pcr tubes reduce gas release heating cycles wetlab facility provides novel operational onorbit research capability molecular biology demonstrates feasibility complex wet bench experiments iss national lab environment
Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/,"Spaceflight causes cardiovascular changes due to microgravity-induced redistribution of body fluids and musculoskeletal unloading. Cardiac deconditioning and atrophy on Earth are associated with altered Trp53 and oxidative stress-related pathways, but the effects of spaceflight on cardiac changes at the molecular level are less understood. We tested the hypothesis that spaceflight alters the expression of key genes related to stress response pathways, which may contribute to cardiovascular deconditioning during extended spaceflight. Mice were exposed to spaceflight for 15 days or maintained on Earth (ground control). Ventricle tissue was harvested starting ~3 h post-landing. We measured expression of select genes implicated in oxidative stress pathways and Trp53 signaling by quantitative PCR. Cardiac expression levels of 37 of 168 genes tested were altered after spaceflight. Spaceflight downregulated transcription factor, Nfe2l2 (Nrf2) , upregulated Nox1 and downregulated Ptgs2 , suggesting a persistent increase in oxidative stress-related target genes. Spaceflight also substantially upregulated Cdkn1a ( p21 ) and cell cycle/apoptosis-related gene Myc , and downregulated the inflammatory response gene Tnf . There were no changes in apoptosis-related genes such as Trp53 . Spaceflight altered the expression of genes regulating redox balance, cell cycle and senescence in cardiac tissue of mice. Thus, spaceflight may contribute to cardiac dysfunction due to oxidative stress. Keywords: spaceflight, microgravity, heart, gene expression, oxidative stress, Nfe2l2 , NADPH oxidase, Ptgs2 , Cdkn1a , Myc",spaceflight causes cardiovascular changes due microgravityinduced redistribution body fluids musculoskeletal unloading cardiac deconditioning atrophy earth associated altered trp oxidative stressrelated pathways effects spaceflight cardiac changes molecular level less understood tested hypothesis spaceflight alters expression key genes related stress response pathways may contribute cardiovascular deconditioning extended spaceflight mice exposed spaceflight days maintained earth ground control ventricle tissue harvested starting postlanding measured expression select genes implicated oxidative stress pathways trp signaling quantitative pcr cardiac expression levels genes tested altered spaceflight spaceflight downregulated transcription factor nfel nrf upregulated nox downregulated ptgs suggesting persistent increase oxidative stressrelated target genes spaceflight also substantially upregulated cdkna cell cycleapoptosisrelated gene myc downregulated inflammatory response gene tnf changes apoptosisrelated genes trp spaceflight altered expression genes regulating redox balance cell cycle senescence cardiac tissue mice thus spaceflight may contribute cardiac dysfunction due oxidative stress keywords spaceflight microgravity heart gene expression oxidative stress nfel nadph oxidase ptgs cdkna myc
Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,"Space radiation may pose a risk to skeletal health during subsequent aging. Irradiation acutely stimulates bone remodeling in mice, although the long-term influence of space radiation on bone-forming potential (osteoblastogenesis) and possible adaptive mechanisms are not well understood. We hypothesized that ionizing radiation impairs osteoblastogenesis in an ion-type specific manner, with low doses capable of modulating expression of redox-related genes. 16-weeks old, male, C57BL6/J mice were exposed to low linear-energy-transfer (LET) protons (150 MeV/n) or high-LET 56 Fe ions (600 MeV/n) using either low (5 or 10 cGy) or high (50 or 200 cGy) doses at NASA’s Space Radiation Lab. Five weeks or one year after irradiation, tissues were harvested and analyzed by microcomputed tomography for cancellous microarchitecture and cortical geometry. Marrow-derived, adherent cells were grown under osteoblastogenic culture conditions. Cell lysates were analyzed by RT-PCR during the proliferative or mineralizing phase of growth, and differentiation was analyzed by imaging mineralized nodules. As expected, a high dose (200 cGy), but not lower doses, of either 56 Fe or protons caused a loss of cancellous bone volume/total volume. Marrow cells produced mineralized nodules ex vivo regardless of radiation type or dose; 56 Fe (200 cGy) inhibited osteoblastogenesis by more than 90% (5 weeks and 1 year post-IR). After 5 weeks, irradiation (protons or 56 Fe) caused few changes in gene expression levels during osteoblastogenesis, although a high dose 56 Fe (200 cGy) increased Catalase and Gadd45 . The addition of exogenous superoxide dismutase (SOD) protected marrow-derived osteoprogenitors from the damaging effects of exposure to low-LET ( 137 Cs γ) when irradiated in vitro, but had limited protective effects on high-LET 56 Fe-exposed cells. In sum, either protons or 56 Fe at a relatively high dose (200 cGy) caused persistent bone loss, whereas only high-LET 56 Fe increased redox-related gene expression, albeit to a limited extent, and inhibited osteoblastogenesis. Doses below 50 cGy did not elicit widespread responses in any parameter measured. We conclude that high-LET irradiation at 200 cGy impaired osteoblastogenesis and regulated steady-state gene expression of select redox-related genes during osteoblastogenesis, which may contribute to persistent bone loss. Keywords: cancellous bone, osteoblast, ionizing radiation, spaceflight, oxidative stress",space radiation may pose risk skeletal health subsequent aging irradiation acutely stimulates bone remodeling mice although longterm influence space radiation boneforming potential osteoblastogenesis possible adaptive mechanisms well understood hypothesized ionizing radiation impairs osteoblastogenesis iontype specific manner low doses capable modulating expression redoxrelated genes weeks old male cblj mice exposed low linearenergytransfer let protons mevn highlet ions mevn using either low cgy high cgy doses nasas space radiation lab five weeks one year irradiation tissues harvested analyzed microcomputed tomography cancellous microarchitecture cortical geometry marrowderived adherent cells grown osteoblastogenic culture conditions cell lysates analyzed rtpcr proliferative mineralizing phase growth differentiation analyzed imaging mineralized nodules expected high dose cgy lower doses either protons caused loss cancellous bone volumetotal volume marrow cells produced mineralized nodules vivo regardless radiation type dose cgy inhibited osteoblastogenesis weeks year postir weeks irradiation protons caused changes gene expression levels osteoblastogenesis although high dose cgy increased catalase gadd addition exogenous superoxide dismutase sod protected marrowderived osteoprogenitors damaging effects exposure lowlet irradiated vitro limited protective effects highlet feexposed cells sum either protons relatively high dose cgy caused persistent bone loss whereas highlet increased redoxrelated gene expression albeit limited extent inhibited osteoblastogenesis doses cgy elicit widespread responses parameter measured conclude highlet irradiation cgy impaired osteoblastogenesis regulated steadystate gene expression select redoxrelated genes osteoblastogenesis may contribute persistent bone loss keywords cancellous bone osteoblast ionizing radiation spaceflight oxidative stress
From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,"NASA’s Space Biology and Human Research Program entities have recently spearheaded communications both internally and externally to coordinate the agency’s translational research efforts. In this paper, we strongly advocate for translational research at NASA, provide recent examples of NASA sponsored early-stage translational research, and discuss options for a path forward. Our overall objective is to help in stimulating a collaborative research across multiple disciplines and entities that, working together, will more effectively and more rapidly achieve NASA’s goals for human spaceflight.",nasas space biology human research program entities recently spearheaded communications internally externally coordinate agencys translational research efforts paper strongly advocate translational research nasa provide recent examples nasa sponsored earlystage translational research discuss options path forward overall objective help stimulating collaborative research across multiple disciplines entities working together effectively rapidly achieve nasas goals human spaceflight
High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/,"One potentially important bone quality characteristic is the response of bone to cyclic (repetitive) mechanical loading. In small animals, such as in rats and mice, cyclic loading experiments are particularly challenging to perform in a precise manner due to the small size of the bones and difficult-to-eliminate machine compliance. Addressing this issue, we developed a precise method for ex vivo cyclic compressive loading of isolated mouse vertebral bodies. The method has three key characteristics: 3D-printed support jigs for machining plano-parallel surfaces of the tiny vertebrae; pivotable loading platens to ensure uniform contact and loading of specimen surfaces; and specimen-specific micro-CT-based finite element analysis to measure stiffness to prescribe force levels that produce the same specified level of strain for all test specimens. To demonstrate utility, we measured fatigue life for three groups ( n = 5–6 per group) of L5 vertebrae of C57BL/6J male mice, comparing our new method against two methods commonly used in the literature. We found reduced scatter of the mechanical behavior for this new method compared to the literature methods. In particular, for a controlled level of strain, the standard deviation of the measured fatigue life was up to 5-fold lower for the new method (F-ratio = 4.9; p < 0.01). The improved precision for this new method for biomechanical testing of small-animal vertebrae may help elucidate aspects of bone quality. Keywords: Fatigue, Bone mechanics, Mouse, Vertebrae, Bone quality",one potentially important bone quality characteristic response bone cyclic repetitive mechanical loading small animals rats mice cyclic loading experiments particularly challenging perform precise manner due small size bones difficulttoeliminate machine compliance addressing issue developed precise method vivo cyclic compressive loading isolated mouse vertebral bodies method three key characteristics dprinted support jigs machining planoparallel surfaces tiny vertebrae pivotable loading platens ensure uniform contact loading specimen surfaces specimenspecific microctbased finite element analysis measure stiffness prescribe force levels produce specified level strain test specimens demonstrate utility measured fatigue life three groups per group vertebrae cblj male mice comparing new method two methods commonly used literature found reduced scatter mechanical behavior new method compared literature methods particular controlled level strain standard deviation measured fatigue life fold lower new method fratio improved precision new method biomechanical testing smallanimal vertebrae may help elucidate aspects bone quality keywords fatigue bone mechanics mouse vertebrae bone quality
Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,"Bone can become brittle when exposed to ionizing radiation across a wide range of clinically relevant doses that span from radiotherapy (accumulative 50 Gy) to sterilization (~35,000 Gy). While irradiation-induced embrittlement has been attributed to changes in the collagen molecular structure, the relative role of collagen fragmentation versus non-enzymatic collagen crosslinking remains unclear. To better understand the effects of radiation on the bone material without cellular activity, we conducted an ex vivo x-ray radiation experiment on excised mouse lumbar vertebrae. Spinal tissue from twenty-week old, female, C57BL/6J mice were randomly assigned to a single x-ray radiation dose of either 0 (control), 50, 1,000, 17,000, or 35,000 Gy. Measurements were made for collagen fragmentation, non-enzymatic collagen crosslinking, and both monotonic and cyclic-loading compressive mechanical properties. We found that the group differences for mechanical properties were more consistent with those for collagen fragmentation than for non-enzymatic collagen crosslinking. Monotonic strength at 17,000 and 35,000 Gy was lower than that of the control by 50% and 73% respectively, ( p < 0.001) but at 50 and 1,000 Gy was not different than the control. Consistent with those trends, collagen fragmentation only occurred at 17,000 and 35,000 Gy. By contrast, non-enzymatic collagen crosslinking was greater than control for all radiation doses ( p < 0.001). All results were consistent both for monotonic and cyclic loading conditions. We conclude that the reductions in bone compressive monotonic strength and fatigue life due to ex vivo ionizing radiation are more likely caused by fragmentation of the collagen backbone than any increases in non-enzymatic collagen crosslinks. Keywords: ionizing radiation, bone strength, fatigue, collagen, sterilization, bone-graft",bone become brittle exposed ionizing radiation across wide range clinically relevant doses span radiotherapy accumulative sterilization irradiationinduced embrittlement attributed changes collagen molecular structure relative role collagen fragmentation versus nonenzymatic collagen crosslinking remains unclear better understand effects radiation bone material without cellular activity conducted vivo xray radiation experiment excised mouse lumbar vertebrae spinal tissue twentyweek old female cblj mice randomly assigned single xray radiation dose either control measurements made collagen fragmentation nonenzymatic collagen crosslinking monotonic cyclicloading compressive mechanical properties found group differences mechanical properties consistent collagen fragmentation nonenzymatic collagen crosslinking monotonic strength lower control respectively different control consistent trends collagen fragmentation occurred contrast nonenzymatic collagen crosslinking greater control radiation doses results consistent monotonic cyclic loading conditions conclude reductions bone compressive monotonic strength fatigue life due vivo ionizing radiation likely caused fragmentation collagen backbone increases nonenzymatic collagen crosslinks keywords ionizing radiation bone strength fatigue collagen sterilization bonegraft
