title,link,abstract
Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,https://pmc.ncbi.nlm.nih.gov/articles/PMC6915713/,"Spaceflight has several detrimental effects on the physiology of astronauts, many of which are recapitulated in rodent models. Mouse studies performed on the Space Shuttle showed disruption of lipid metabolism in liver. However, given that these animals were not sacrificed on-orbit and instead returned live to earth, it is unclear if these disruptions were solely induced by space stressors (e.g. microgravity, space radiation) or in part explained by the stress of return to Earth. In this work we analyzed three liver datasets from two different strains of mice (C57BL/6 (Jackson) & BALB/c (Taconic)) flown aboard the International Space Station (ISS). Notably, these animals were sacrificed on-orbit and exposed to varying spaceflight durations (i.e. 21, 37, and 42 days vs 13 days for the Shuttle mice). Oil Red O (ORO) staining showed abnormal lipid accumulation in all space-flown mice compared to ground controls regardless of strain or exposure duration. Similarly, transcriptomic analysis by RNA-sequencing revealed several pathways that were affected in both strains related to increased lipid metabolism, fatty acid metabolism, lipid and fatty acid processing, lipid catabolic processing, and lipid localization. In addition, key upstream regulators were predicted to be commonly regulated across all conditions including Glucagon (GCG) and Insulin (INS). Moreover, quantitative proteomic analysis showed that a number of lipid related proteins were changed in the livers during spaceflight. Taken together, these data indicate that activation of lipotoxic pathways are the result of space stressors alone and this activation occurs in various genetic backgrounds during spaceflight exposures of weeks to months. If similar responses occur in humans, a prolonged change of these pathways may result in the development of liver disease and should be investigated further."
ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,"Root hairs are single-cell extensions crucial for nutrient and water uptake, with their tip-focused growth regulated by various molecular components, including receptor-like kinases. ERULUS (ERU), also known as CAP1, is a malectin-like receptor kinase previously hypothesized to regulate root hair growth by maintaining ammonium homeostasis, with a proposed tonoplast localization. Here, we reassess ERU's function and subcellular localization, challenging the prior model. We isolated a novel recessive *eru-3* mutant, which displayed characteristic short and irregularly shaped root hairs. Expression of a functional UBQ10:ERU-GFP fusion restored wild-type root hair lengths in *eru-3* mutants, confirming its activity. Critically, this functional ERU-GFP fusion localized to the plasma membrane and post-Golgi/endocytic vesicles at the root hair tip, directly refuting the reported tonoplast localization. Our findings establish ERULUS as a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations, thereby providing a revised mechanistic understanding of its role."
Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade,https://pmc.ncbi.nlm.nih.gov/articles/PMC4702960/,"Horizontal gene transfer (HGT), or the transfer of genes between species, has been recognized recently as more pervasive than previously suspected. Here, we report evidence for an unprecedented degree of HGT into an animal genome, based on a draft genome of a tardigrade, Hypsibius dujardini. Tardigrades are microscopic eight-legged animals that are famous for their ability to survive extreme conditions. Genome sequencing, direct confirmation of physical linkage, and phylogenetic analysis revealed that a large fraction of the H. dujardini genome is derived from diverse bacteria as well as plants, fungi, and Archaea. We estimate that approximately one-sixth of tardigrade genes entered by HGT, nearly double the fraction found in the most extreme cases of HGT into animals known to date. Foreign genes have supplemented, expanded, and even replaced some metazoan gene families within the tardigrade genome. Our results demonstrate that an unexpectedly large fraction of an animal genome can be derived from foreign sources. We speculate that animals that can survive extremes may be particularly prone to acquiring foreign genes."
Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,"This report addresses previous criticisms and a recognized error in an initial *Hypsibius dujardini* genome assembly that indicated extensive horizontal gene transfer (HGT). To validate the robustness of their original finding, the authors leveraged independent *H. dujardini* genome assemblies generated by other groups using diverse filtering methods. Three distinct metrics were applied to these assemblies: the HGT index, identification of genes aligning exclusively to prokaryotic sequences, and classification of ""class C"" genes. Results consistently demonstrated a substantial proportion of foreign genes, with 3.8–7.1% identified by the HGT index, 164–384 genes aligning solely to prokaryotes, and 2.5–4.6% classified as ""class C."" Across all analyses, the prevalence of foreign genes in *H. dujardini* was significantly elevated compared to typical animal genomes. These findings strongly corroborate the original discovery of widespread HGT in tardigrades, even in meticulously filtered and independently assembled genomes."
The Evolution of Temperature and Desiccation-Related Protein Families in Tardigrada Reveals a Complex Acquisition of Extremotolerance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11831363/,"Tardigrada is an ecdysozoan lineage famed for its resilience. Tardigrades can tolerate high doses of radiation, low-oxygen environments, desiccation, and both high and low temperatures under a dormant state called “anhydrobiosis”, which is a reversible halt of metabolism upon almost complete desiccation. A large amount of research has focused on the genetic pathways related to these capabilities, and a number of genes have been identified and linked to the extremotolerant response of tardigrades. However, the history of these genes is unclear, and the origins and history of extremotolerant genes within Tardigrada remain a mystery. Here, we generate the first phylogenies of six separate protein families linked with desiccation and radiation tolerance in Tardigrada: cytosolic abundant heat-soluble protein, mitochondrial abundant heat-soluble protein, secretory abundant heat-soluble protein, meiotic recombination 11 homolog, and the newly discovered Echiniscus testudo abundant heat-soluble proteins (alpha and beta). The high number of independent gene duplications found amongst the six gene families studied suggests that tardigrades have a complex history with numerous independent adaptations to cope with aridity within the limnoterrestrial environment. Our results suggest that tardigrades likely transitioned from a marine environment to a limnoterrestrial environment only twice, once in stem Eutardigrada and once in Heterotardigrada, which explains the unique adaptations to anhydrobiosis present in both classes."
Endoplasmic reticulum-shape and function in stress translation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,"This academic review article synthesizes current understanding of the endoplasmic reticulum's (ER) dynamic architecture, its intricate interactions with other organelles, and its pivotal role in cellular stress translation and adaptation. The ER, a versatile network of tubules and sheets, exhibits dynamics regulated by myosin motor proteins, which influence its structure and communication with organelles like the Golgi, peroxisomes, mitochondria, and vacuoles. A central function is the ER quality control (ERQC) system, ensuring proper folding of secreted proteins, with misfolded proteins targeted for ER-associated degradation (ERAD). The article highlights the ER's critical function in maintaining cellular homeostasis during abiotic and biotic stresses, where an imbalance between protein demand and ER capacity triggers stress responses. These responses involve the ER sensing impaired function through misfolded protein accumulation, initiating signaling pathways and adaptive mechanisms, including programmed cell death, to overcome or mitigate stress."
"High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core ""DSB"" response specific to clastogenic treatments",https://pmc.ncbi.nlm.nih.gov/articles/PMC4117989/,"Plants exhibit a robust transcriptional response to gamma radiation which includes the induction of transcripts required for homologous recombination and the suppression of transcripts that promote cell cycle progression. Various DNA damaging agents induce different spectra of DNA damage as well as “collateral” damage to other cellular components and therefore are not expected to provoke identical responses by the cell. Here we study the effects of two different types of ionizing radiation (IR) treatment, HZE (1 GeV Fe26+ high mass, high charge, and high energy relativistic particles) and gamma photons, on the transcriptome of Arabidopsis thaliana seedlings. Both types of IR induce small clusters of radicals that can result in the formation of double strand breaks (DSBs), but HZE also produces linear arrays of extremely clustered damage. We performed these experiments across a range of time points (1.5–24 h after irradiation) in both wild-type plants and in mutants defective in the DSB-sensing protein kinase ATM. The two types of IR exhibit a shared double strand break-repair-related damage response, although they differ slightly in the timing, degree, and ATM-dependence of the response. The ATM-dependent, DNA metabolism-related transcripts of the “DSB response” were also induced by other DNA damaging agents, but were not induced by conventional stresses. Both Gamma and HZE irradiation induced, at 24 h post-irradiation, ATM-dependent transcripts associated with a variety of conventional stresses; these were overrepresented for pathogen response, rather than DNA metabolism. In contrast, only HZE-irradiated plants, at 1.5 h after irradiation, exhibited an additional and very extensive transcriptional response, shared with plants experiencing “extended night.” This response was not apparent in gamma-irradiated plants."
Biological horizons: pioneering open science in the cosmos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11167097/,"This article highlights the pivotal role of open science in advancing space-related biological and biomedical research, advocating for the accessible and reusable nature of invaluable spaceflight data. The NASA Open Science Data Repository (OSDR) is presented as a central platform housing diverse 'omics, phenotypic, physiological, and behavioral data from model organisms and human astronauts, enriched with comprehensive metadata. Through the collaborative efforts of over 500 citizen scientists and Analysis Working Groups (AWGs), OSDR standardizes data generation and formatting, ensuring its Findability, Accessibility, Interoperability, and Reusability (FAIR). This approach facilitates advanced analytics, including Artificial Intelligence (AI), maximizing the utility of limited spaceflight resources. NASA’s ""Transform to Open Science"" (TOPS) program further accelerates the adoption of reproducible research and trains scientists in open science principles. The successful utilization of OSDR data, exemplified by the ""Second Space Age"" Nature portfolio Collection, underscores how open data sharing enables groundbreaking discoveries and meta-analyses. Ultimately, integrating open science, standardized data, and AI is deemed essential for pioneering future deep space biology and health support."
Delayed Maturation of Oligodendrocyte Progenitors by Microgravity: Implications for Multiple Sclerosis and Space Flight,https://pmc.ncbi.nlm.nih.gov/articles/PMC9224676/,"In previous studies, we examined the effects of space microgravity on human neural stem cells. To date, there are no studies on a different type of cell that is critical for myelination and electrical signals transmission, oligodendrocyte progenitors (OLPs). The purpose of the present study was to examine the behavior of space-flown OLPs (SPC-OLPs) as they were adapting to Earth’s gravity. We found that SPC-OLPs survived, and most of them proliferated normally. Nonetheless, some of them displayed incomplete cytokinesis. Both morphological and ontogenetic analyses showed that they remained healthy and expressed the immature OLP markers Sox2, PDGFR-α, and transferrin (Tf) after space flight, which confirmed that SPC-OLPs displayed a more immature phenotype than their ground control (GC) counterparts. In contrast, GC OLPs expressed markers that usually appear later (GPDH, O4, and ferritin), indicating a delay in SPC-OLPs’ development. These cells remained immature even after treatment with culture media designed to support oligodendrocyte (OL) maturation. The most remarkable and surprising finding was that the iron carrier glycoprotein Tf, previously described as an early marker for OLPs, was expressed ectopically in the nucleus of all SPC-OLPs. In contrast, their GC counterparts expressed it exclusively in the cytoplasm, as previously described. In addition, analysis of the secretome demonstrated that SPC-OLPs contained 3.5 times more Tf than that of GC cells, indicating that Tf is gravitationally regulated, opening two main fields of study to understand the upregulation of the Tf gene and secretion of the protein that keep OLPs at a progenitor stage rather than moving forward to more mature phenotypes. Alternatively, because Tf is an autocrine and paracrine factor in the central nervous system (CNS), in the absence of neurons, it accumulated in the secretome collected after space flight. We conclude that microgravity is becoming a novel platform to study why in some myelin disorders OLPs are present but do not mature."
Microbiome metadata standards: Report of the National Microbiome Data Collaborative's workshop and follow-on activities.,https://pmc.ncbi.nlm.nih.gov/articles/PMC8573954/,"Microbiome samples are inherently defined by the environment in which they are found. Therefore, data that provide context and enable interpretation of measurements produced from biological samples, often referred to as metadata, are critical. Important contributions have been made in the development of community-driven metadata standards; however, these standards have not been uniformly embraced by the microbiome research community. To understand how these standards are being adopted, or the barriers to adoption, across research domains, institutions, and funding agencies, the National Microbiome Data Collaborative (NMDC) hosted a workshop in October 2019. This report provides a summary of discussions that took place throughout the workshop, as well as outcomes of the working groups initiated at the workshop."
The ongoing search for the molecular basis of plant osmosensing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4411250/,"This article investigates the molecular basis of plant osmosensing, a critical process for land plant growth and development given their unique dependence on cellular water status. The fundamental objective is to elucidate how plants perceive and respond to osmotic challenges, which is crucial for mitigating drought impacts on global crop productivity. Plants meticulously regulate water homeostasis through complex mechanisms including efficient water uptake, regulated stomatal control, and maintaining turgor pressure, largely facilitated by the vacuole and elastic cell wall. While some osmosensing pathways exhibit evolutionary parallels with fungal, mammalian, and prokaryotic systems, plants also employ unique strategies. The discussion highlights that plant osmosensing likely encompasses both direct perception of trans-membrane osmotic imbalances and indirect mechanical stimuli, such as changes in membrane tension or cell wall integrity. Despite its profound importance, a comprehensive understanding of the precise molecular components and signaling cascades governing plant osmosensing remains elusive, necessitating further research."
To Infinity and Beyond! Human spaceflight and life science.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6188462/,"This article provides a historical overview of human spaceflight, tracing its evolution from science fiction visions to technological reality and its subsequent establishment as a critical domain for life science research. It outlines the progression from early conceptualizations and wartime technological advancements to the development of suborbital and orbital missions, which offer varying durations of microgravity exposure. Initial experimental flights, including animal missions, served to test the sustainability of life in space, though early challenges, such as Laika's fate, highlighted the imperative to understand physiological responses. These foundational efforts initiated the fields of gravitational and space biology. The article concludes that orbital spaceflights now serve as platforms for extensive scientific investigations into the effects of microgravity on biological systems, from molecular signal transduction and gene expression to organismal physiology and development, thereby supporting ongoing research into human adaptability and survival beyond Earth."
